Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
structural constituent of cuticle	GOMF	154	1.2082313384256758	1823.812301660254	1.2462262427888088E-45	4.3368673249050546E-43	up	172197,  172495,  172607,  173382,  173495,  173695,  174226,  174336,  174370,  174397,  174720,  174731,  175170,  176117,  176528,  176988,  177187,  177225,  177559,  177872,  178414,  178857,  179297,  179298,  179351,  179431,  179452,  179453,  179668,  179693,  179812,  179823,  179825,  180907,  180908,  180909,  180960,  181219,  181356,  181814,  184015,  184366,  185812,  186083,  187239,  188178,  188426,  188672
structural molecule activity	GOMF	315	0.9260749973634612	315.8265524874529	6.18122414205149E-42	1.0755330007169593E-39	up	171813,  172197,  172495,  172607,  173382,  173495,  173695,  174226,  174336,  174370,  174397,  174720,  174731,  175170,  176117,  176528,  176988,  177187,  177225,  177559,  177872,  178414,  178857,  179297,  179298,  179351,  179431,  179452,  179453,  179668,  179693,  179812,  179823,  179825,  180907,  180908,  180909,  180960,  181219,  181356,  181814,  184015,  184366,  185812,  186083,  187239,  188178,  188426,  188672
collagen trimer	GOCC	33	1.1374006990693162	1174.384659766758	5.859061984233818E-20	1.3651614423264796E-17	up	172197,  173495,  174226,  174397,  174731,  176117,  177187,  177559,  177872,  179297,  179298,  179452,  179453,  179693
body morphogenesis	GOBP	434	0.3839618989230504	10.871804845915007	3.024541321115485E-16	3.5387133457051174E-13	up	172197,  173839,  174370,  174397,  174720,  174731,  176117,  176528,  177187,  177225,  178414,  178857,  179693,  180907,  180908,  180909,  181219,  184366,  188426
collagen and cuticulin-based cuticle extracellular matrix	GOCC	13	0.7586311592079774	111.56365732808446	8.671723450036294E-16	1.0102557819292283E-13	up	172197,  174397,  174720,  177187,  179693,  179823
macromolecular complex	GOCC	680	0.4938012717848431	21.515667327220356	1.3992246113095213E-14	1.0867311147837283E-12	up	172122,  172197,  173495,  174226,  174397,  174731,  176117,  176298,  177187,  177559,  177872,  179297,  179298,  179452,  179453,  179693
proteinaceous extracellular matrix	GOCC	39	0.5952127031377291	40.40743025274187	4.401954579025351E-14	2.5641385422822667E-12	up	172197,  174397,  174720,  177187,  179693,  179823
extracellular matrix	GOCC	44	0.5790138241699148	36.537677950751124	9.046465263184148E-14	4.215652812643813E-12	up	172197,  174397,  174720,  177187,  179693,  179823
protein complex	GOCC	539	0.42194183973059246	13.76601913856271	6.033396663133951E-12	2.342969037517018E-10	up	172122,  172197,  173495,  174226,  174397,  174731,  176117,  176298,  177187,  177559,  177872,  179297,  179298,  179452,  179453,  179693
collagen and cuticulin-based cuticle development	GOBP	92	0.40161112717979425	12.132111294160772	2.1724578010895432E-11	7.864696199131317E-9	up	172197,  173495,  174397,  174731,  177187,  177559,  179693,  185812
cuticle development	GOBP	92	0.40161112717979425	12.132111294160772	2.1724578010895432E-11	7.864696199131317E-9	up	172197,  173495,  174397,  174731,  177187,  177559,  179693,  185812
anatomical structure morphogenesis	GOBP	777	0.2785019837607234	5.645059194369763	2.68878502534404E-11	7.864696199131317E-9	up	172197,  173839,  174370,  174397,  174720,  174731,  176117,  176528,  177107,  177187,  177225,  178414,  178857,  179693,  180907,  180908,  180909,  181219,  184366,  188426
