Id	Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
GO:0042302	structural constituent of cuticle	GOMF	154	1.2082313384256758	1823.812301660254	1.2462262427888088E-45	4.3368673249050546E-43	up	172197,  172495,  172607,  173382,  173495,  173695,  174226,  174336,  174370,  174397,  174720,  174731,  175170,  176117,  176528,  176988,  177187,  177225,  177559,  177872,  178414,  178857,  179297,  179298,  179351,  179431,  179452,  179453,  179668,  179693,  179812,  179823,  179825,  180907,  180908,  180909,  180960,  181219,  181356,  181814,  184015,  184366,  185812,  186083,  187239,  188178,  188426,  188672
GO:0005198	structural molecule activity	GOMF	315	0.9260749973634612	315.8265524874529	6.18122414205149E-42	1.0755330007169593E-39	up	171813,  172197,  172495,  172607,  173382,  173495,  173695,  174226,  174336,  174370,  174397,  174720,  174731,  175170,  176117,  176528,  176988,  177187,  177225,  177559,  177872,  178414,  178857,  179297,  179298,  179351,  179431,  179452,  179453,  179668,  179693,  179812,  179823,  179825,  180907,  180908,  180909,  180960,  181219,  181356,  181814,  184015,  184366,  185812,  186083,  187239,  188178,  188426,  188672
GO:0005581	collagen trimer	GOCC	33	1.1374006990693162	1174.384659766758	5.859061984233818E-20	1.3651614423264796E-17	up	172197,  173495,  174226,  174397,  174731,  176117,  177187,  177559,  177872,  179297,  179298,  179452,  179453,  179693
GO:0010171	body morphogenesis	GOBP	434	0.3839618989230504	10.871804845915007	3.024541321115485E-16	3.5387133457051174E-13	up	172197,  173839,  174370,  174397,  174720,  174731,  176117,  176528,  177187,  177225,  178414,  178857,  179693,  180907,  180908,  180909,  181219,  184366,  188426
GO:0060102	collagen and cuticulin-based cuticle extracellular matrix	GOCC	13	0.7586311592079774	111.56365732808446	8.671723450036294E-16	1.0102557819292283E-13	up	172197,  174397,  174720,  177187,  179693,  179823
GO:0032991	macromolecular complex	GOCC	680	0.4938012717848431	21.515667327220356	1.3992246113095213E-14	1.0867311147837283E-12	up	172122,  172197,  173495,  174226,  174397,  174731,  176117,  176298,  177187,  177559,  177872,  179297,  179298,  179452,  179453,  179693
GO:0005578	proteinaceous extracellular matrix	GOCC	39	0.5952127031377291	40.40743025274187	4.401954579025351E-14	2.5641385422822667E-12	up	172197,  174397,  174720,  177187,  179693,  179823
GO:0031012	extracellular matrix	GOCC	44	0.5790138241699148	36.537677950751124	9.046465263184148E-14	4.215652812643813E-12	up	172197,  174397,  174720,  177187,  179693,  179823
GO:0043234	protein complex	GOCC	539	0.42194183973059246	13.76601913856271	6.033396663133951E-12	2.342969037517018E-10	up	172122,  172197,  173495,  174226,  174397,  174731,  176117,  176298,  177187,  177559,  177872,  179297,  179298,  179452,  179453,  179693
GO:0040002	collagen and cuticulin-based cuticle development	GOBP	92	0.40161112717979425	12.132111294160772	2.1724578010895432E-11	7.864696199131317E-9	up	172197,  173495,  174397,  174731,  177187,  177559,  179693,  185812
GO:0042335	cuticle development	GOBP	92	0.40161112717979425	12.132111294160772	2.1724578010895432E-11	7.864696199131317E-9	up	172197,  173495,  174397,  174731,  177187,  177559,  179693,  185812
GO:0009653	anatomical structure morphogenesis	GOBP	777	0.2785019837607234	5.645059194369763	2.68878502534404E-11	7.864696199131317E-9	up	172197,  173839,  174370,  174397,  174720,  174731,  176117,  176528,  177107,  177187,  177225,  178414,  178857,  179693,  180907,  180908,  180909,  181219,  184366,  188426
GO:0005488	binding	GOMF	3144	-0.23729957778303531	0.2288419066431393	5.602266982626184E-11	6.498629699846374E-9	down	172981,  175086,  176549,  177389,  178228,  180080,  182229,  182466,  187486,  189207,  190362
GO:0048856	anatomical structure development	GOBP	2730	0.20825994628944391	3.6482731599730767	2.267785202217264E-9	5.306617373188398E-7	up	172197,  172495,  173495,  173839,  174370,  174397,  174720,  174731,  176117,  176298,  176528,  177107,  177187,  177225,  177559,  177872,  178254,  178414,  178857,  179351,  179693,  180907,  180908,  180909,  181219,  181664,  182480,  184366,  185812,  186083,  188178,  188426
GO:0044421	extracellular region part	GOCC	116	0.3740962334707291	10.225263605815757	7.393038376466423E-8	2.4608256310238238E-6	up	172197,  174397,  174720,  177187,  179693,  179823,  181664
GO:1901700	response to oxygen-containing compound	GOBP	36	-0.44492062686873673	0.0629756376786281	7.393191558075733E-8	1.441672353824768E-5	down	172981,  175086,  3564838
GO:0044699	single-organism process	GOBP	5319	0.21288750389975158	3.7547150835583363	1.2137639124272735E-7	2.0287196821998713E-5	up	13191153,  172122,  172197,  172495,  173495,  173839,  174370,  174397,  174720,  174731,  175123,  176117,  176298,  176528,  176695,  176988,  177107,  177187,  177225,  177559,  177872,  178245,  178254,  178414,  178660,  178857,  179273,  179298,  179351,  179615,  179693,  180907,  180908,  180909,  181219,  181664,  181790,  182480,  182944,  184366,  185812,  186083,  187608,  188178,  188426,  189006,  259632
GO:0044767	single-organism developmental process	GOBP	3276	0.17501629386660353	2.9673155154216073	2.0481815966052296E-7	2.9954655850351483E-5	up	13191153,  172197,  172495,  173495,  173839,  174370,  174397,  174720,  174731,  175123,  176117,  176298,  176528,  176695,  177107,  177187,  177225,  177559,  177872,  178245,  178254,  178414,  178857,  179273,  179298,  179351,  179693,  180907,  180908,  180909,  181219,  181664,  182480,  184366,  185812,  186083,  188178,  188426,  259632
cel03010	Ribosome	KEGG	44	1.6075729554286797	21816.806837926928	2.060571639907351E-7	1.7720916103203218E-5	up	
GO:0032502	developmental process	GOBP	3292	0.172784156865934	2.926437522200777	2.746465699061748E-7	3.570405408780272E-5	up	13191153,  172197,  172495,  173495,  173839,  174370,  174397,  174720,  174731,  175123,  176117,  176298,  176528,  176695,  177107,  177187,  177225,  177559,  177872,  178245,  178254,  178414,  178857,  179273,  179298,  179351,  179693,  180907,  180908,  180909,  181219,  181664,  182480,  184366,  185812,  186083,  188178,  188426,  259632
GO:1901701	cellular response to oxygen-containing compound	GOBP	21	-0.47158416622134336	0.05335909816428107	3.402448787616857E-7	3.980865081511723E-5	down	172981,  175086
GO:0005576	extracellular region	GOCC	302	0.28599088766668396	5.913993288430177	2.2175242518187983E-6	6.45853938342225E-5	up	172197,  173495,  174397,  174720,  177187,  177559,  179693,  179823,  181664
GO:0009791	post-embryonic development	GOBP	1495	0.16738441769035117	2.8298637276676204	3.23938273713421E-6	3.445525274951842E-4	up	172197,  175123,  176298,  176528,  178414,  179273,  179298,  179693,  181664,  185812,  188426
GO:0043167	ion binding	GOMF	1755	-0.1761027955265611	0.3347370906743252	3.257311199037995E-6	2.8338607431630555E-4	down	175086,  177389,  178228,  180080,  190362
GO:0002164	larval development	GOBP	1483	0.1657572256174234	2.8013913281991103	4.115201874391699E-6	4.012321827531907E-4	up	172197,  175123,  176298,  176528,  178414,  179273,  179298,  179693,  181664,  185812,  188426
GO:0003824	catalytic activity	GOMF	2060	-0.1643512145654857	0.36009824246534133	4.4766153968198085E-6	3.1157243161865865E-4	down	175086,  177389,  180080,  182229,  189433
GO:0002119	nematode larval development	GOBP	1481	0.16071669411232847	2.7149981413013733	7.744151545751104E-6	6.667165075639513E-4	up	172197,  175123,  176298,  176528,  178414,  179273,  179693,  181664,  185812,  188426
GO:0016788	hydrolase activity, acting on ester bonds	GOMF	217	-0.3173193586750113	0.13917607007959099	7.898587349323628E-6	4.5811806626077045E-4	down	182229
