Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
Huntington disease	Panther Pathway	113	0.150381008170915	2.54609046376901	2.19539578467154E-4	0.017124087120438	up	11459,  12337,  14281,  14809,  14814,  15114,  16476,  20602,  22151,  22152,  22153,  54152,  73710
DNA replication	Panther Pathway	26	-0.210274861390806	0.270691398879108	0.00388272525040876	0.151426284765942	down	15077,  18968,  21974,  24128
Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway	Panther Pathway	104	-0.116697440450569	0.48421373984878	0.00875731342663488	0.199189617404006	down	109905,  11540,  11848,  13488,  13489,  14696,  18387,  18798,  19395,  19735,  19737,  19739
Alzheimer disease-presenilin pathway	Panther Pathway	110	0.10976211532557	1.97808366642563	0.0102148521745644	0.199189617404006	up	11459,  11785,  16971,  18551,  22409,  22413,  22414,  58235
Parkinson disease	Panther Pathway	81	0.109657767545815	1.97680133345653	0.0252445416860089	0.338877664759774	up	15511,  15512,  18951,  19171,  193740,  20618,  20779,  22223,  26417,  26446,  56424
EGF receptor signaling pathway	Panther Pathway	111	-0.0976606013495138	0.545025681155152	0.0260675126738288	0.338877664759774	down	20663,  208177,  21802,  23797,  240752
Cytoskeletal regulation by Rho GTPase	Panther Pathway	62	0.113187432698887	2.02064251160534	0.0402679878311725	0.448700435833065	up	11459,  22151,  22152,  22153,  228359,  231637,  73710
PDGF signaling pathway	Panther Pathway	124	-0.0791883543335587	0.611326197092558	0.0608817504671339	0.593597067054556	down	117600,  11855,  20663,  232441,  73086
GABA-B receptor II signaling	Panther Pathway	34	0.113692075740219	2.02698951466368	0.120595211707012	0.62045727260764	up	11513,  11514,  14693,  14704
Axon guidance mediated by Slit/Robo	Panther Pathway	13	0.168983354441411	2.85812359260231	0.113330464072832	0.62045727260764	up	20562
FGF signaling pathway	Panther Pathway	106	-0.0651907263213549	0.666886897947986	0.153859308929061	0.62045727260764	down	20663,  23797,  240752
Ubiquitin proteasome pathway	Panther Pathway	42	-0.113261781898316	0.494663479488115	0.0944101296652261	0.62045727260764	down	107568,  231380,  93765
Ionotropic glutamate receptor pathway	Panther Pathway	40	0.113881937257527	2.02938260138261	0.0927845754247248	0.62045727260764	up	108068,  12322,  14809,  14814,  20513,  243961
PI3 kinase pathway	Panther Pathway	50	-0.0925544421476991	0.562598198113424	0.146599994533879	0.62045727260764	down	14696,  20663,  23797,  56458
Axon guidance mediated by netrin	Panther Pathway	24	-0.125091039942098	0.459603191079747	0.151224099216835	0.62045727260764	down	210801,  240752
Cadherin signaling pathway	Panther Pathway	127	0.0673156869057503	1.51943812664329	0.104225469630044	0.62045727260764	up	11459,  12555,  12561,  12614,  18526,  18530,  20779,  22409,  22413,  22414,  233651,  75599
Metabotropic glutamate receptor group II pathway	Panther Pathway	41	0.101513652336151	1.87924023700819	0.135577072898924	0.62045727260764	up	108068,  14693,  14704,  20907
Metabotropic glutamate receptor group III pathway	Panther Pathway	56	0.087832994052535	1.72607084251118	0.140243122592447	0.62045727260764	up	14693,  14704,  14809,  14814,  20513,  20907
Oxidative stress response	Panther Pathway	47	0.0908530055869043	1.75877197543698	0.159091608360933	0.62045727260764	up	16476,  19094,  19252,  56405,  66959
T cell activation	Panther Pathway	71	-0.0789484213719847	0.612238418992947	0.148509389600028	0.62045727260764	down	16149,  19055,  20663,  23797
Metabotropic glutamate receptor group I pathway	Panther Pathway	22	0.119797920389963	2.10538242713014	0.181198613764178	0.634228704216379	up	14809,  14814,  66168
p53 pathway feedback loops 2	Panther Pathway	45	-0.0896106999058787	0.572985205862182	0.18263264184411	0.634228704216379	down	23797,  240752
Inflammation mediated by chemokine and cytokine signaling pathway	Panther Pathway	178	0.0474954710322726	1.34334898544084	0.187016156371496	0.634228704216379	up	11459,  12322,  12700,  12702,  12777,  12833,  14704,  16476,  16477,  18762,  18799,  20312,  22371,  26417
Ras Pathway	Panther Pathway	64	-0.0711732979639327	0.642547744853236	0.217539986677556	0.707004956702056	down	11848,  20663,  23797
De novo purine biosynthesis	Panther Pathway	21	0.112050865394265	2.0064203531411	0.226651940928359	0.70715405569648	up	11565
Endothelin signaling pathway	Panther Pathway	71	-0.0632494152482895	0.674981275683514	0.252082692411624	0.747211546641997	down	13599,  13618,  14680,  18798,  19088,  224129,  23797,  240752
Axon guidance mediated by semaphorins	Panther Pathway	19	0.106905900941313	1.94328196406471	0.275455717852561	0.747211546641997	up	18844,  26757
Beta3 adrenergic receptor signaling pathway	Panther Pathway	22	0.101394871658692	1.8778535400453	0.270074051041612	0.747211546641997	up	11513,  11556,  14693,  14704
Integrin signalling pathway	Panther Pathway	149	-0.042785947385156	0.766517388672699	0.277809421187409	0.747211546641997	down	104099,  109905,  11472,  11848,  12389,  12825,  12842,  12843,  16410,  20663,  240752
Hypoxia response via HIF activation	Panther Pathway	25	-0.0944571631749147	0.555984840038654	0.287988142114138	0.74876916949676	down	23797,  240752
Heterotrimeric G-protein signaling pathway-Gi alpha and Gs alpha mediated pathway	Panther Pathway	138	-0.0418097255972334	0.771181858810297	0.305933771888792	0.769768845397605	down	109905,  11540,  13488,  13489,  14680,  15551,  15560,  15566,  18387,  18679,  19088,  19735,  19737,  19739,  217463,  224129
VEGF signaling pathway	Panther Pathway	56	-0.0598241230697572	0.689503517864493	0.334488824836224	0.815316510538295	down	240752
Insulin/IGF pathway-protein kinase B signaling cascade	Panther Pathway	34	-0.069400900450554	0.649664373454498	0.376034265597758	0.862666844606621	down	16000,  240752
5HT2 type receptor mediated signaling pathway	Panther Pathway	60	-0.053291646501889	0.718071094139134	0.375920697898972	0.862666844606621	down	12296,  14696,  15560,  18798,  214084,  22319
Alzheimer disease-amyloid secretase pathway	Panther Pathway	64	0.0443706589400955	1.31751351096335	0.444071062158179	0.865938571208449	up	11784,  11785,  12669,  18551,  18752,  18762,  19094,  26417
Vasopressin synthesis	Panther Pathway	11	-0.10214104950191	0.530059193185889	0.438373136626071	0.865938571208449	down	NA
p53 pathway	Panther Pathway	69	-0.0440065023552157	0.760725142356011	0.436237374306527	0.865938571208449	down	18519,  23797,  240752
Adrenaline and noradrenaline biosynthesis	Panther Pathway	25	-0.0756489858013698	0.62492177330039	0.403854440788187	0.865938571208449	down	103098,  214084,  22319
Cholesterol biosynthesis	Panther Pathway	11	0.109733372748656	1.97773036505798	0.390253544412264	0.865938571208449	up	17855,  192156,  68603
Notch signaling pathway	Panther Pathway	33	0.0630892107558118	1.48004829660697	0.423112532105064	0.865938571208449	up	17305,  20602
Apoptosis signaling pathway	Panther Pathway	101	0.0339797577320706	1.23512339193149	0.469032212585605	0.892305184918955	up	12369,  12915,  14281,  15511,  15512,  16476,  18752,  193740,  26417,  51800
5HT1 type receptor mediated signaling pathway	Panther Pathway	36	-0.0453105830081287	0.754584874455217	0.558434049597939	0.915792813165112	down	14696,  15551,  19088,  214084,  22319
TGF-beta signaling pathway	Panther Pathway	90	-0.0255844940406986	0.852998402870822	0.609120378449951	0.915792813165112	down	20482,  21812,  218441,  269275
Nicotinic acetylcholine receptor signaling pathway	Panther Pathway	84	0.0324195510304981	1.22320541725732	0.526963694810585	0.915792813165112	up	11438,  11459,  208943,  20907,  226977
Heme biosynthesis	Panther Pathway	12	-0.0642483996802505	0.670803772636451	0.625002261768258	0.915792813165112	down	107508
Wnt signaling pathway	Panther Pathway	259	0.0141828046658638	1.09214163657463	0.645751342616425	0.915792813165112	up	11459,  11565,  12555,  12561,  12614,  14693,  14704,  14797,  18526,  18530,  18752,  18762,  21886,  21887,  22409,  22413,  22414,  233651,  75599
5-Hydroxytryptamine degredation	Panther Pathway	17	0.0673896423930753	1.52013662755167	0.535022585727452	0.915792813165112	up	107747,  11669,  11670
Histamine H2 receptor mediated signaling pathway	Panther Pathway	20	0.0521567262398144	1.38283205949972	0.607995527207175	0.915792813165112	up	11513,  14693,  14704
p53 pathway by glucose deprivation	Panther Pathway	19	0.0527697089588297	1.38810993195766	0.612679618338727	0.915792813165112	up	13685
Angiogenesis	Panther Pathway	152	0.0188813421402804	1.12450185470329	0.62851509702295	0.915792813165112	up	13641,  13845,  14281,  16476,  18752,  18762,  20779,  21804,  22409,  22413,  22414,  228359,  26417
Toll receptor signaling pathway	Panther Pathway	41	0.0386930973157342	1.27183715755363	0.591920853740393	0.915792813165112	up	106759,  16179,  16476,  26417
Cell cycle	Panther Pathway	16	0.059368403332056	1.44621725815579	0.598700010366759	0.915792813165112	up	NA
Endogenous cannabinoid signaling	Panther Pathway	21	0.052938597013065	1.38956761960089	0.593581109999613	0.915792813165112	up	14693,  14704
5HT3 type receptor mediated signaling pathway	Panther Pathway	14	-0.0773915177896128	0.618190910103243	0.5202311577842	0.915792813165112	down	214084,  22319
General transcription by RNA polymerase I	Panther Pathway	14	-0.0573421930787291	0.700221015399209	0.639474334730577	0.915792813165112	down	NA
Heterotrimeric G-protein signaling pathway-rod outer segment phototransduction	Panther Pathway	26	-0.038293436871192	0.788219477707107	0.67434298371649	0.922785135612039	down	14696,  19739
B cell activation	Panther Pathway	54	-0.0272796402037997	0.844059513765017	0.669691604713557	0.922785135612039	down	19055,  20663
Alpha adrenergic receptor signaling pathway	Panther Pathway	19	-0.0370742525511561	0.794214303780105	0.727620675358661	0.945906877966259	down	18798,  22319
Oxytocin receptor mediated signaling pathway	Panther Pathway	51	-0.0246217213123506	0.858117408883973	0.708209576448259	0.945906877966259	down	12296,  14696,  18798,  22319
General transcription regulation	Panther Pathway	29	0.0309933155282267	1.21241144932577	0.71829521532013	0.945906877966259	up	NA
JAK/STAT signaling pathway	Panther Pathway	15	0.0291190801992807	1.19837164360802	0.806864820452433	0.953984989860298	up	NA
Plasminogen activating cascade	Panther Pathway	14	-0.0302890867857415	0.828420167998241	0.807218068343329	0.953984989860298	down	NA
Thyrotropin-releasing hormone receptor signaling pathway	Panther Pathway	53	-0.0184677268586276	0.891571462636886	0.775067320671103	0.953984989860298	down	12296,  14696,  18798,  22319
Beta2 adrenergic receptor signaling pathway	Panther Pathway	38	-0.0203112674837558	0.881415124231437	0.789278012560161	0.953984989860298	down	12296,  14680,  14696,  19088,  20192,  22319
Blood coagulation	Panther Pathway	41	0.0209119562151902	1.13878238976374	0.774033894110656	0.953984989860298	up	22371
Muscarinic acetylcholine receptor 2 and 4 signaling pathway	Panther Pathway	52	-0.0168606702499155	0.900520402396923	0.796067101776952	0.953984989860298	down	12647,  14696,  19088,  20508,  22319
Interferon-gamma signaling pathway	Panther Pathway	28	0.0171342124111411	1.11235836568584	0.845564995507914	0.98438909924802	up	12700,  12702,  19094,  26417
5HT4 type receptor mediated signaling pathway	Panther Pathway	27	0.0126384203607983	1.08170968328261	0.887942164092348	0.989302564743579	up	11513,  14693,  14704
FAS signaling pathway	Panther Pathway	34	-0.00665354358695398	0.959494048888283	0.933991283979374	0.989302564743579	down	12332,  23797
Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade	Panther Pathway	28	-0.0103962967274446	0.937434012917644	0.906371510569579	0.989302564743579	down	16000,  20663,  73086
Beta1 adrenergic receptor signaling pathway	Panther Pathway	38	-0.0122238047091863	0.926847574499563	0.87231673294341	0.989302564743579	down	12296,  14680,  14696,  19088,  20192,  22319
Interleukin signaling pathway	Panther Pathway	95	0.0053024174399635	1.03350139132336	0.913389319797858	0.989302564743579	up	12575,  14281,  26417,  384783
Histamine H1 receptor mediated signaling pathway	Panther Pathway	39	0.0077244165802277	1.04917508475929	0.9179170611538	0.989302564743579	up	14693,  14704,  18752,  18762,  18799
Synaptic vesicle trafficking	Panther Pathway	23	0.00749214750813193	1.04766173366779	0.938569099884934	0.989302564743579	up	20907,  53420
Muscarinic acetylcholine receptor 1 and 3 signaling pathway	Panther Pathway	53	-0.00182870685654711	0.988699637778661	0.977427662971542	0.996912278193073	down	12647,  14696,  18798,  20508,  22319,  63993
Cortocotropin releasing factor receptor signaling pathway	Panther Pathway	26	0.00416891628338848	1.02624671509383	0.963686374168505	0.996912278193073	up	12921,  14693,  14704
Hedgehog signaling pathway	Panther Pathway	19	0.00212746479554102	1.01330914859536	0.984131351549572	0.996912278193073	up	NA
Transcription regulation by bZIP transcription factor	Panther Pathway	43	3.67224233511885E-5	1.00022824151268	0.999590519678833	0.999590519678833	up	NA
Oxidative phosphorylation	KEGG	109	0.192852408158043	3.3151475668674	1.5305422573042E-6	3.19883331776577E-4	up	11951,  11984,  12862,  12866,  17991,  27425,  66091,  66152,  66416,  66594,  67942,  68375,  69875
Parkinson's disease	KEGG	105	0.158130800843457	2.6717159811147	2.43195430172767E-4	0.0169426149687028	up	11951,  12862,  12866,  17991,  18951,  22223,  64704,  66091,  66152,  66416,  66594,  67942,  68375,  69875
Huntington's disease	KEGG	155	0.13768242320324	2.35288515876454	2.08190898615702E-4	0.0169426149687028	up	110084,  11951,  12862,  12866,  15114,  17991,  54152,  66091,  66152,  66416,  66594,  67942,  68375,  69875
Glycolysis / Gluconeogenesis	KEGG	55	0.190789432055781	3.27291671639387	5.44939388429503E-4	0.0284730830454415	up	11669,  11670,  11674,  18641,  433182,  56012,  67689,  74551
Alzheimer's disease	KEGG	144	0.130495216409893	2.2501044305258	7.64242745018851E-4	0.031945346741788	up	11785,  11816,  11951,  12369,  12862,  12866,  14814,  16971,  17991,  18125,  26417,  66091,  66152,  66416,  66594,  67942,  68375,  69875
Ubiquitin mediated proteolysis	KEGG	130	-0.132672995249636	0.438449486152885	0.00211637364242871	0.0575777031648589	down	107568,  11798,  217232,  231380,  26965,  67455,  72584,  75717,  93765
Glycosphingolipid biosynthesis - lacto and neolacto series	KEGG	22	-0.252738222943888	0.207906045202477	0.00194692580272661	0.0575777031648589	down	14538,  20449,  53625,  93961
Prion diseases	KEGG	34	0.206299170546052	3.60408706009429	0.00220393122162139	0.0575777031648589	up	12259,  193740,  26417
Metabolic pathways	KEGG	1049	0.0489182667955409	1.35527970446468	0.00567483923668792	0.10782194549707	up	100163,  100198,  100705,  101502,  104418,  106648,  11565,  11669,  11670,  11674,  11821,  11951,  11984,  12408,  12862,  14387,  14430,  14431,  14598,  14731,  15360,  15932,  171212,  17769,  17855,  17991,  18125,  18641,  18799,  18948,  192156,  207182,  20975,  211429,  218271,  21881,  225742,  227733,  230718,  239017,  242669,  27425,  29858,  319945,  320951,  433182,  54218,  54397,  56012,  64385,  66091,  66152,  66194,  66416,  66594,  67689,  67942,  68262,  68375,  68603,  69719,  69745,  69875,  71519,  74551,  76898
RNA degradation	KEGG	65	-0.161781169826422	0.365895842953756	0.00499081309464688	0.10782194549707	down	24127,  24128,  57316,  70640,  93728
Cardiac muscle contraction	KEGG	63	0.153424674834344	2.59470862408324	0.00548477646392428	0.10782194549707	up	11932,  12297,  12862,  12866,  21924,  21956,  54378,  66152,  66594,  81905
Notch signaling pathway	KEGG	44	0.170698888155134	2.88875811772852	0.00734129433611159	0.127860876353943	up	17305,  18223,  20602,  433586
Cell cycle	KEGG	119	-0.114402202464886	0.491170061404753	0.0126257130374839	0.195861882194541	down	13006,  17216,  19090,  20842,  20843,  211586,  217232,  26965
Galactose metabolism	KEGG	25	0.19736674448527	3.40947039086728	0.0131199346924573	0.195861882194541	up	14387,  14430,  18641
Non-homologous end-joining	KEGG	12	-0.250966506805515	0.210207847945213	0.0221967259015923	0.30927438089552	down	19090
Ribosome	KEGG	62	0.126490355562411	2.19479355135298	0.0296725708979926	0.387597957355029	up	11837,  14109,  19921,  19942,  19943,  19981,  66475,  66481
Tyrosine metabolism	KEGG	32	0.160182268164235	2.70599591721326	0.034464174157855	0.403145863799689	up	11670,  17319,  18948,  66138,  67689
alpha-Linolenic acid metabolism	KEGG	19	0.193560636327728	3.32977088412112	0.034720696403801	0.403145863799689	up	211429,  56473
mRNA surveillance pathway	KEGG	77	-0.0999623395626856	0.537284910820456	0.0813182087409904	0.67982022507468	down	326622,  54451,  93728
RNA transport	KEGG	135	-0.0783828368978785	0.614394153511581	0.0778608005864661	0.67982022507468	down	13664,  19386,  217869,  218693,  326622,  93728
Prostate cancer	KEGG	85	-0.0967438821429829	0.548139581643829	0.07761292150665	0.67982022507468	down	16000,  20663,  21802,  23797,  56458
Non-small cell lung cancer	KEGG	51	-0.123982568453164	0.462780197068406	0.069346285603047	0.67982022507468	down	20183,  20663,  21802,  218772,  23797
Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	KEGG	24	0.161253509281346	2.72407076060973	0.0639086885716526	0.67982022507468	up	14731,  239827
Base excision repair	KEGG	31	0.141373623796471	2.40748267246317	0.0756041232219626	0.67982022507468	up	18207,  268395,  69745,  72774
