geneid	PValue	logFC	norm_avg_readcount
23310	0	5.78652279038938	702.502097550925
2289	0	4.97479552940556	823.596827803173
55839	3.35669626658599e-253	4.6534736342862	370.788759349442
79689	1.06930042353455e-223	8.09274513480969	122.301658246018
467	4.2522400037416e-210	3.2870060856111	753.40214237904
1718	6.25577171473661e-170	3.2152845404434	394.184934739781
79083	1.32134179782258e-169	2.56900678064564	2618.93262343671
3977	6.01239798798106e-163	4.08124536753528	214.25707162547
6303	2.03328205365187e-156	2.57981813534833	880.738885003118
54206	7.49200714278996e-145	4.17260072881435	142.043983052131
2181	7.2571683936547e-140	3.6245011269906	308.745281984748
11057	1.25052239987301e-135	2.20626527687202	1185.2876899375
6652	6.30768435083548e-130	2.79317382711737	257.619595039979
3817	9.36406370259676e-116	2.92125378720397	389.410289506926
8611	1.73905528853833e-114	2.28691710080742	880.746242911008
10397	4.5506376469661e-111	3.21800341296814	151.13493780082
6675	1.12122955360838e-109	2.08196683781835	706.296693226102
57633	9.41848042503125e-106	-4.58705714777714	146.985783591336
83700	2.3218625996711e-105	5.44549103522094	62.6822501463423
54407	2.23640136192569e-96	2.26365619792455	399.286066268178
9590	1.169150758078e-95	5.26109454140657	99.8902011114725
285	1.05512854046374e-93	4.50065065513354	60.2018259483428
